Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Currency
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,34,33,2,6.06,5.32,1,2.94,0,0.00,0.00,3.68,5.18,22.48,100.0,0.0,0,3.00,2,1,1,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (2011-CORAL RIDGE),680386,5579,2011,96,96,2,2.08,11.37,0,0.00,0,0.00,0.00,4.70,5.95,21.17,100.0,0.0,0,4.46,13,1,9,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,502,490,23,4.69,200.98,12,2.39,8,1.59,0.00,4.23,6.32,24.43,99.67,0.33,33,4.16,32,4,17,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,141,141,3,2.13,43.44,0,0.00,0,0.00,0.71,4.27,5.83,21.34,100.0,0.0,0,3.53,17,5,8,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (681-COMMERCIAL),684427,5579,681,159,157,1,0.64,1.96,2,1.26,1,0.63,0.63,2.91,4.90,20.20,100.0,0.0,0,4.13,15,1,7,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (6712-EXECUTIVE),684429,5579,6712,93,91,2,2.20,1.85,2,2.15,1,1.08,0.00,4.39,6.93,21.54,100.0,0.0,0,3.89,9,2,5,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,340,337,18,5.34,95.05,3,0.88,1,0.29,0.29,4.67,6.13,21.32,98.81,1.19,120,4.42,19,2,14,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,255,253,8,3.16,61.56,2,0.78,0,0.00,0.39,4.08,5.89,22.51,99.32,0.68,69,4.20,15,1,8,USD
Week of 2025-06-23,2025-06-23,2025-06-29,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,112,112,4,3.57,10.47,0,0.00,0,0.00,0.00,3.61,5.30,33.63,100.0,0.0,0,4.60,10,0,6,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (5990-SOUTHGATE),684457,5579,5990,200,198,8,4.04,42.56,2,1.00,0,0.00,0.00,3.60,4.77,26.28,99.66,0.34,30,3.60,10,2,5,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (2565-5TH AVENUE),684468,5579,2565,185,183,5,2.73,30.44,2,1.08,2,1.08,1.08,3.61,5.24,20.57,100.0,0.0,0,3.57,7,2,3,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (3555-TAMARAC),684472,5579,3555,222,220,7,3.18,16.78,2,0.90,0,0.00,0.90,4.25,6.48,31.90,99.4,0.6,60,4.45,11,1,8,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (12885-MCNAB & ROCK ISLAND),684476,5579,12885,442,433,17,3.93,74.83,9,2.04,2,0.45,0.23,5.72,7.73,24.71,98.59,1.41,142,3.59,17,3,5,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (10671-LAKEWOOD),684491,5579,10671,207,205,5,2.44,27.82,2,0.97,1,0.48,0.00,3.85,5.58,22.92,100.0,0.0,0,4.19,16,1,9,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (32379-MIRABELLA),684546,5579,32379,398,397,10,2.52,86.44,1,0.25,0,0.00,0.25,3.61,5.10,22.47,99.7,0.3,30,4.28,40,3,23,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (16832-BROWARD & 1ST),684559,5579,16832,328,322,12,3.73,63.00,6,1.83,2,0.61,0.00,5.13,6.65,21.47,99.6,0.4,40,4.25,20,2,12,USD
Week of 2025-06-23,2025-06-23,2025-06-29,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,171,171,2,1.17,15.47,0,0.00,0,0.00,0.00,3.36,4.98,51.49,100.0,0.0,0,4.63,16,1,13,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (24106-PALM AIRE),684906,5579,24106,175,170,10,5.88,78.08,5,2.86,0,0.00,0.00,3.81,6.02,23.79,100.0,0.0,0,4.42,12,1,8,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,218,218,10,4.59,48.33,0,0.00,0,0.00,0.00,3.84,6.21,21.29,99.66,0.34,30,4.00,10,2,6,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,248,246,8,3.25,53.11,2,0.81,0,0.00,0.00,3.93,5.87,23.39,100.0,0.0,0,3.48,21,6,7,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,248,243,9,3.70,57.69,5,2.02,3,1.21,0.00,4.48,6.32,24.67,99.8,0.2,20,3.50,18,5,6,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,93,89,5,5.62,57.54,4,4.30,1,1.08,0.00,4.22,6.07,23.20,99.66,0.34,30,4.00,4,1,3,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (1585-A & F),685073,5579,1585,232,224,10,4.46,44.39,8,3.45,1,0.43,0.43,4.19,6.17,21.90,99.32,0.68,68,3.94,16,2,9,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,324,317,9,2.84,41.56,7,2.16,2,0.62,0.62,4.06,5.55,20.92,99.0,1.0,101,3.89,19,4,10,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (10881-CONGRESS & 22ND),686273,5579,10881,532,522,18,3.45,130.26,10,1.88,5,0.94,0.19,4.27,5.71,20.76,99.75,0.25,25,4.06,36,7,23,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,173,171,6,3.51,48.25,2,1.16,0,0.00,0.00,4.36,5.64,23.20,100.0,0.0,0,3.88,17,3,9,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,154,153,5,3.27,32.51,1,0.65,0,0.00,0.00,3.87,5.37,22.52,100.0,0.0,0,4.31,13,1,7,USD
Week of 2025-06-23,2025-06-23,2025-06-29,McDonald's (7253-BAY COLONY),688121,5579,7253,136,133,6,4.51,27.09,3,2.21,2,1.47,0.00,3.64,5.36,27.35,99.64,0.36,30,4.29,7,1,5,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (1013-NORTH POMPANO),677517,5579,1013,119,119,3,2.52,14.32,0,0.00,0,0.00,0.00,4.25,5.41,17.84,99.65,0.35,29,4.33,9,1,6,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (10397-SUNRISE/PINE ISLAND),680307,5579,10397,137,137,6,4.38,26.15,0,0.00,0,0.00,0.00,3.95,5.65,20.76,100.0,0.0,0,3.83,6,1,3,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,312,307,12,3.91,57.15,5,1.60,0,0.00,0.00,5.46,7.31,26.10,98.03,1.97,198,4.57,14,1,11,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,44,44,1,2.27,0.00,0,0.00,0,0.00,0.00,4.44,5.60,21.86,100.0,0.0,0,4.00,2,0,0,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (2011-CORAL RIDGE),680386,5579,2011,115,112,5,4.46,26.88,3,2.61,0,0.00,0.87,5.04,6.78,23.92,99.29,0.71,60,3.63,8,1,1,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,598,586,18,3.07,102.85,12,2.01,4,0.67,0.17,4.71,6.70,23.90,99.73,0.27,27,4.03,35,5,20,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,114,114,5,4.39,41.53,0,0.00,0,0.00,0.00,4.48,5.96,20.25,99.66,0.34,30,4.55,11,0,6,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (681-COMMERCIAL),684427,5579,681,152,150,4,2.67,17.60,2,1.32,2,1.32,0.66,3.34,5.31,20.14,99.64,0.36,30,4.21,19,2,10,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (6712-EXECUTIVE),684429,5579,6712,113,113,8,7.08,57.10,0,0.00,0,0.00,0.00,4.67,7.06,35.09,100.0,0.0,0,4.89,9,0,8,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,328,323,12,3.72,65.60,5,1.52,2,0.61,0.91,4.14,5.74,21.22,99.31,0.69,70,4.61,18,1,14,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,283,281,12,4.27,92.12,2,0.71,1,0.35,1.41,3.96,6.15,21.65,100.0,0.0,0,4.20,10,1,5,USD
Week of 2025-06-16,2025-06-16,2025-06-22,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,141,140,1,0.71,12.88,1,0.71,0,0.00,0.00,4.12,5.69,27.33,100.0,0.0,0,3.80,5,1,2,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (5990-SOUTHGATE),684457,5579,5990,240,236,5,2.12,21.30,4,1.67,2,0.83,0.83,3.71,4.89,19.74,100.0,0.0,0,4.47,15,1,12,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (2565-5TH AVENUE),684468,5579,2565,198,197,7,3.55,27.31,1,0.51,0,0.00,0.00,3.68,4.82,20.58,100.0,0.0,0,3.30,10,3,3,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (3555-TAMARAC),684472,5579,3555,220,214,6,2.80,42.13,6,2.73,3,1.36,1.82,4.64,6.73,27.83,99.27,0.73,74,3.91,11,3,8,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (12885-MCNAB & ROCK ISLAND),684476,5579,12885,439,430,30,6.98,180.29,9,2.05,4,0.91,0.46,5.50,7.75,25.57,97.93,2.07,209,3.32,31,11,14,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (10671-LAKEWOOD),684491,5579,10671,227,223,8,3.59,54.49,4,1.76,1,0.44,0.44,4.37,6.49,22.90,100.0,0.0,0,4.24,17,2,11,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (32379-MIRABELLA),684546,5579,32379,417,415,9,2.17,36.02,2,0.48,0,0.00,0.24,3.17,4.86,22.84,99.4,0.6,60,4.38,24,1,12,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (16832-BROWARD & 1ST),684559,5579,16832,349,329,7,2.13,44.44,20,5.73,9,2.58,0.00,6.34,7.98,25.41,97.45,2.55,257,3.59,17,4,5,USD
Week of 2025-06-16,2025-06-16,2025-06-22,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,172,171,2,1.17,8.13,1,0.58,0,0.00,0.58,3.87,5.61,40.01,100.0,0.0,0,4.73,11,0,8,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (24106-PALM AIRE),684906,5579,24106,198,196,4,2.04,7.13,2,1.01,2,1.01,0.00,3.55,5.85,23.63,99.32,0.68,60,4.00,10,2,6,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,199,196,7,3.57,58.86,3,1.51,0,0.00,0.00,4.44,6.69,21.61,99.32,0.68,60,3.91,11,1,2,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,231,226,5,2.21,31.70,5,2.16,3,1.30,1.30,3.61,5.66,26.00,100.0,0.0,0,3.92,13,2,5,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,302,296,9,3.04,40.12,6,1.99,2,0.66,0.66,4.35,6.20,22.60,99.15,0.85,86,4.58,19,0,11,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,108,107,3,2.80,12.05,1,0.93,0,0.00,0.00,3.61,5.89,29.78,100.0,0.0,0,4.36,11,1,7,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (1585-A & F),685073,5579,1585,278,268,20,7.46,84.59,10,3.60,6,2.16,0.72,4.98,7.79,24.21,97.92,2.08,210,4.60,20,1,15,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,365,360,17,4.72,99.74,5,1.37,3,0.82,0.27,4.47,6.06,21.40,98.72,1.28,129,4.00,21,2,10,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (10881-CONGRESS & 22ND),686273,5579,10881,455,441,11,2.49,70.68,14,3.08,7,1.54,0.22,4.57,6.23,22.15,84.2,15.8,1587,4.18,44,5,25,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,221,220,7,3.18,28.39,1,0.45,0,0.00,0.00,4.28,5.80,23.32,100.0,0.0,0,4.24,17,2,11,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,161,157,6,3.82,40.42,4,2.48,1,0.62,0.00,3.85,5.37,22.11,99.64,0.36,30,4.89,9,0,8,USD
Week of 2025-06-16,2025-06-16,2025-06-22,McDonald's (7253-BAY COLONY),688121,5579,7253,141,136,2,1.47,14.02,5,3.55,4,2.84,0.71,4.51,6.22,23.24,99.65,0.35,29,4.17,6,1,4,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (1013-NORTH POMPANO),677517,5579,1013,120,119,2,1.68,7.56,1,0.83,0,0.00,0.00,4.27,5.61,18.64,99.64,0.36,30,4.75,4,0,3,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (10397-SUNRISE/PINE ISLAND),680307,5579,10397,155,154,4,2.60,10.79,1,0.65,0,0.00,0.00,3.88,5.72,21.21,100.0,0.0,0,3.54,13,3,5,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,281,271,12,4.43,62.70,10,3.56,5,1.78,0.36,5.25,6.90,24.36,99.02,0.98,99,4.35,20,1,14,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,31,30,1,3.33,4.24,1,3.23,1,3.23,0.00,3.99,5.05,22.07,100.0,0.0,0,5.00,1,0,1,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (2011-CORAL RIDGE),680386,5579,2011,116,114,7,6.14,87.10,2,1.72,0,0.00,0.00,4.73,6.80,25.12,99.64,0.36,30,4.09,11,1,4,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,595,584,26,4.45,157.32,11,1.85,8,1.34,12.27,4.99,7.14,24.79,98.73,1.27,128,4.31,29,3,19,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,146,146,4,2.74,17.68,0,0.00,0,0.00,0.68,4.37,6.35,20.92,100.0,0.0,0,4.67,6,0,4,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (681-COMMERCIAL),684427,5579,681,151,145,3,2.07,10.82,6,3.97,2,1.32,0.00,3.32,4.88,20.15,100.0,0.0,0,4.53,15,1,11,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (6712-EXECUTIVE),684429,5579,6712,134,132,3,2.27,17.31,2,1.49,0,0.00,0.00,3.83,6.59,21.67,100.0,0.0,0,3.36,11,4,5,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,310,303,11,3.63,51.93,7,2.26,4,1.29,0.32,4.71,6.41,23.39,97.99,2.01,202,4.27,15,2,10,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,251,248,7,2.82,93.44,3,1.20,2,0.80,0.80,4.16,6.57,22.08,99.24,0.76,77,4.08,12,2,7,USD
Week of 2025-06-09,2025-06-09,2025-06-15,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,112,110,2,1.82,6.71,2,1.79,1,0.89,0.00,4.01,5.92,21.34,100.0,0.0,0,4.21,14,2,9,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (5990-SOUTHGATE),684457,5579,5990,243,242,7,2.89,31.97,1,0.41,0,0.00,0.41,3.47,4.69,20.23,100.0,0.0,0,4.25,20,2,12,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (2565-5TH AVENUE),684468,5579,2565,207,202,8,3.96,59.65,5,2.42,1,0.48,0.48,3.81,5.30,20.13,100.0,0.0,0,4.10,10,1,4,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (3555-TAMARAC),684472,5579,3555,229,225,5,2.22,19.66,4,1.75,2,0.87,0.00,5.16,6.86,24.32,99.4,0.6,60,4.00,13,2,6,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (12885-MCNAB & ROCK ISLAND),684476,5579,12885,437,429,26,6.06,183.53,8,1.83,0,0.00,0.23,5.89,8.14,24.74,98.16,1.84,185,4.04,25,4,15,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (10671-LAKEWOOD),684491,5579,10671,212,212,5,2.36,36.00,0,0.00,0,0.00,0.00,3.35,5.43,20.99,100.0,0.0,0,4.60,5,0,3,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (32379-MIRABELLA),684546,5579,32379,426,423,12,2.84,73.32,3,0.70,0,0.00,0.70,3.67,5.42,22.41,99.7,0.3,30,4.05,22,4,13,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (16832-BROWARD & 1ST),684559,5579,16832,349,341,18,5.28,88.19,8,2.29,4,1.15,0.00,5.72,7.23,23.76,98.77,1.23,124,4.21,19,3,13,USD
Week of 2025-06-09,2025-06-09,2025-06-15,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,154,153,5,3.27,34.15,1,0.65,0,0.00,0.00,3.36,4.81,37.01,100.0,0.0,0,4.33,12,1,8,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (24106-PALM AIRE),684906,5579,24106,155,150,4,2.67,23.43,5,3.23,0,0.00,0.00,4.13,7.22,25.43,100.0,0.0,0,4.80,5,0,4,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,204,203,6,2.96,43.11,1,0.49,0,0.00,0.00,4.37,6.67,22.08,98.98,1.02,90,4.13,15,1,9,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,260,256,10,3.91,59.59,4,1.54,3,1.15,0.00,3.98,6.10,22.98,99.66,0.34,30,3.25,12,4,4,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,280,276,4,1.45,28.67,4,1.43,2,0.71,0.00,3.61,5.48,23.48,99.79,0.21,21,4.36,11,0,6,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,90,87,4,4.60,32.25,3,3.33,1,1.11,4.44,3.36,5.15,23.83,100.0,0.0,0,3.40,5,2,3,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (1585-A & F),685073,5579,1585,237,231,11,4.76,41.61,6,2.53,2,0.84,0.00,4.18,6.15,28.38,99.09,0.91,92,4.45,11,1,8,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,344,341,11,3.23,73.23,3,0.87,3,0.87,1.16,4.20,5.83,20.67,98.31,1.69,170,4.00,25,4,14,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (10881-CONGRESS & 22ND),686273,5579,10881,665,659,25,3.79,98.67,6,0.90,1,0.15,0.00,5.00,6.59,23.27,98.47,1.53,154,4.36,42,2,27,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,213,212,3,1.42,10.56,1,0.47,0,0.00,0.00,4.21,5.36,21.52,99.64,0.36,30,4.83,6,0,5,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,167,165,4,2.42,31.66,2,1.20,0,0.00,0.00,2.94,4.34,23.11,100.0,0.0,0,4.57,14,1,11,USD
Week of 2025-06-09,2025-06-09,2025-06-15,McDonald's (7253-BAY COLONY),688121,5579,7253,109,106,4,3.77,16.65,3,2.75,2,1.83,0.00,2.83,4.09,32.28,100.0,0.0,0,3.60,5,1,1,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (1013-NORTH POMPANO),677517,5579,1013,134,133,4,3.01,23.68,1,0.75,0,0.00,0.00,3.96,5.36,18.32,100.0,0.0,0,3.80,5,1,3,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (10397-SUNRISE/PINE ISLAND),680307,5579,10397,145,144,3,2.08,9.02,1,0.69,0,0.00,0.00,4.26,6.32,21.91,100.0,0.0,0,3.82,11,3,7,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,310,305,17,5.57,97.93,5,1.61,1,0.32,0.00,5.25,7.23,24.61,98.89,1.11,112,3.92,25,6,17,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,47,47,1,2.13,9.06,0,0.00,0,0.00,0.00,3.81,5.04,21.91,100.0,0.0,0,3.33,3,1,1,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (2011-CORAL RIDGE),680386,5579,2011,129,128,7,5.47,24.89,1,0.78,0,0.00,0.00,3.92,5.30,23.95,98.47,1.53,128,4.29,7,1,5,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,509,500,24,4.80,128.58,9,1.77,4,0.79,0.20,5.22,7.12,25.76,97.42,2.58,260,4.40,50,6,40,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,154,151,7,4.64,44.40,3,1.95,0,0.00,0.00,5.42,6.99,21.73,98.01,1.99,175,4.61,18,1,15,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (681-COMMERCIAL),684427,5579,681,165,164,6,3.66,49.90,1,0.61,0,0.00,0.00,2.97,4.57,21.34,100.0,0.0,0,4.73,15,1,14,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (6712-EXECUTIVE),684429,5579,6712,135,134,1,0.75,5.88,1,0.74,1,0.74,0.00,4.04,6.40,22.45,100.0,0.0,0,4.13,8,1,5,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,382,374,9,2.41,35.96,8,2.09,1,0.26,0.00,4.27,5.98,22.45,99.61,0.39,39,4.61,31,1,26,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,254,253,14,5.53,110.93,1,0.39,1,0.39,0.00,4.01,6.08,22.66,100.0,0.0,0,3.25,12,3,4,USD
Week of 2025-06-02,2025-06-02,2025-06-08,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,135,135,3,2.22,17.08,0,0.00,0,0.00,0.00,4.26,6.26,22.73,100.0,0.0,0,4.62,13,1,11,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (5990-SOUTHGATE),684457,5579,5990,239,236,11,4.66,56.09,3,1.26,1,0.42,0.42,3.16,4.44,22.63,100.0,0.0,0,4.58,19,1,15,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (2565-5TH AVENUE),684468,5579,2565,216,214,3,1.40,24.36,2,0.93,0,0.00,0.00,3.16,4.91,19.81,99.66,0.34,30,4.75,8,0,6,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (3555-TAMARAC),684472,5579,3555,263,259,10,3.86,37.97,4,1.52,0,0.00,0.76,4.40,6.44,24.50,99.48,0.52,52,3.95,19,4,13,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (12885-MCNAB & ROCK ISLAND),684476,5579,12885,458,446,26,5.83,175.15,12,2.62,7,1.53,0.22,6.38,8.39,26.28,96.99,3.01,303,4.09,22,3,14,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (10671-LAKEWOOD),684491,5579,10671,234,233,12,5.15,39.22,1,0.43,0,0.00,0.85,3.72,5.32,21.88,100.0,0.0,0,4.50,10,0,8,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (32379-MIRABELLA),684546,5579,32379,376,372,11,2.96,67.43,4,1.06,1,0.27,0.00,3.72,5.69,23.19,99.3,0.7,71,4.52,25,1,20,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (16832-BROWARD & 1ST),684559,5579,16832,338,332,9,2.71,56.76,6,1.78,4,1.18,0.00,4.78,6.35,24.63,99.53,0.47,47,4.33,21,2,16,USD
Week of 2025-06-02,2025-06-02,2025-06-08,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,146,146,2,1.37,21.16,0,0.00,0,0.00,0.00,4.13,5.57,58.21,100.0,0.0,0,5.00,9,0,9,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (24106-PALM AIRE),684906,5579,24106,183,182,1,0.55,0.80,1,0.55,0,0.00,0.00,4.17,6.47,24.20,99.66,0.34,30,4.82,11,0,9,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,187,187,12,6.42,68.85,0,0.00,0,0.00,0.00,4.44,6.52,20.68,98.65,1.35,119,3.89,19,4,10,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,248,245,6,2.45,22.45,3,1.21,1,0.40,0.00,3.64,5.53,22.10,100.0,0.0,0,4.58,19,1,16,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,306,299,7,2.34,66.34,7,2.29,4,1.31,0.00,4.15,5.97,23.22,100.0,0.0,0,4.68,22,1,18,USD
