Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,Total Missing or Incorrect Orders,Missing/Incorrect %,Total Error Charges,Total Cancelled Orders,Total Cancellation Rate %,Total Avoidable Cancellations,Avoidable Cancellation Rate %,Point of Sale Error Rate %,Average Avoidable Dasher Wait,Average Dasher Wait,Average Delivery Time (ASAP),Uptime %,Downtime %,Total Downtime in Minutes,Average Rating,Total Number of Ratings Received in Period of Time,Total 1 Star Ratings,Total 5 Star Ratings,Currency
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,340,333,28,8.41,164.23,7,2.06,4,1.18,0.29,5.58,7.41,24.79,98.51,1.49,150,4.10,20,2,9,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,55,55,3,5.45,6.16,0,0.00,0,0.00,0.00,4.46,5.72,22.64,100.0,0.0,0,4.33,6,0,2,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (2011-CORAL RIDGE),680386,5579,2011,167,167,8,4.79,47.00,0,0.00,0,0.00,0.60,5.03,6.60,22.40,99.64,0.36,30,4.06,16,2,8,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,686,678,35,5.16,218.49,8,1.17,3,0.44,0.15,5.16,7.21,24.48,99.31,0.69,70,3.90,51,10,26,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,179,174,7,4.02,53.51,5,2.79,2,1.12,0.56,6.06,8.02,23.90,98.81,1.19,120,4.77,13,0,10,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (681-COMMERCIAL),684427,5579,681,191,190,5,2.63,56.63,1,0.52,0,0.00,0.00,3.30,4.57,20.22,100.0,0.0,0,4.27,15,2,10,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (6712-EXECUTIVE),684429,5579,6712,129,128,7,5.47,54.41,1,0.78,0,0.00,0.00,4.85,7.84,22.71,99.66,0.34,30,3.78,9,2,6,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,370,361,14,3.88,85.61,9,2.43,1,0.27,1.08,5.18,6.81,22.72,98.07,1.93,194,3.85,26,5,12,USD
Week of 2025-07-07,2025-07-07,2025-07-13,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,354,347,15,4.32,134.89,7,1.98,2,0.57,0.57,5.32,7.37,23.16,98.42,1.58,159,4.22,18,2,11,USD
Week of 2025-07-07,2025-07-07,2025-07-13,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,131,128,3,2.34,5.09,3,2.29,0,0.00,0.00,4.81,6.42,21.21,100.0,0.0,0,4.67,6,0,4,USD
