Granularity,Start Date,End Date,Store Name,Store ID,Business ID,Merchant Supplied ID,Gross Sales,Total Orders Including Cancelled Orders,Total Delivered or Picked Up Orders,AOV,Total Commission,Total Promotion Fees | (for historical reference only),Total Promotion Sales | (for historical reference only),Total Ad Fees | (for historical reference only),Total Ad Sales | (for historical reference only),Currency
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,2888.50,153,151,18.88,363.74,86.04,398.04,0.00,0.00,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,6656.74,360,359,18.49,897.67,271.57,1295.31,27.00,186.65,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (2011-CORAL RIDGE),680386,5579,2011,2516.33,129,128,19.51,312.94,108.21,495.31,9.00,65.03,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,8724.30,503,500,17.34,1170.70,474.51,2091.60,9.00,57.99,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (24106-PALM AIRE),684906,5579,24106,3296.36,182,182,18.11,418.27,125.17,572.37,6.00,38.44,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,3147.32,187,187,16.83,402.61,79.75,335.02,6.00,27.42,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,5786.85,308,305,18.79,781.72,275.80,1333.91,6.00,75.02,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (2565-5TH AVENUE),684468,5579,2565,4181.85,216,214,19.36,519.81,196.36,769.13,6.00,40.15,USD
Week of 2025-06-02,2025-06-02,2025-06-08,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,2295.68,135,135,17.01,284.96,125.08,463.03,3.00,15.36,USD
Week of 2025-06-02,2025-06-02,2025-06-08,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,2811.99,146,146,19.26,356.42,101.90,582.51,3.00,12.48,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (32379-MIRABELLA),684546,5579,32379,6692.17,372,372,17.99,823.76,248.14,1117.40,15.00,75.45,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,4322.08,241,239,17.93,587.16,177.98,709.13,9.00,46.41,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (3555-TAMARAC),684472,5579,3555,4512.58,259,259,17.42,561.14,228.88,1015.12,3.00,16.16,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,1633.27,86,86,18.99,202.21,100.13,468.66,6.00,33.58,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,5452.88,300,299,18.18,679.03,231.77,1085.16,12.00,46.94,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,2955.53,166,163,17.80,369.83,137.05,551.03,9.00,61.70,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (5990-SOUTHGATE),684457,5579,5990,3975.88,237,236,16.78,494.80,178.08,734.84,3.00,2.89,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,4404.52,245,245,17.98,552.34,172.09,678.37,24.00,137.58,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (6712-EXECUTIVE),684429,5579,6712,2382.75,134,134,17.78,295.11,89.23,419.25,3.00,37.07,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (681-COMMERCIAL),684427,5579,681,3121.57,164,164,19.03,387.54,99.72,436.78,3.00,13.19,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,4375.94,254,253,17.23,588.39,218.69,955.10,9.00,52.23,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (7253-BAY COLONY),688121,5579,7253,2476.73,129,129,19.20,311.88,86.74,378.46,9.00,83.58,USD
Week of 2025-06-02,2025-06-02,2025-06-08,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,6518.76,380,374,17.15,818.83,324.21,1364.89,24.00,123.69,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (1013-NORTH POMPANO),677517,5579,1013,152.31,10,10,15.23,20.17,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (10397-SUNRISE/PINE ISLAND),680307,5579,10397,255.32,15,15,17.02,33.60,0.00,0.00,3.00,25.36,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (10671-LAKEWOOD),684491,5579,10671,688.47,36,36,19.12,89.80,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (10881-CONGRESS & 22ND),686273,5579,10881,1850.72,97,97,19.08,257.74,43.14,162.83,3.00,52.78,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (12885-MCNAB & ROCK ISLAND),684476,5579,12885,1115.02,62,62,17.98,155.47,14.18,41.13,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (13565-GALT OCEAN MILE),680384,5579,13565,183.67,7,7,26.24,24.67,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (1585-A & F),685073,5579,1585,663.02,37,37,17.92,91.97,14.38,54.71,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (16832-BROWARD & 1ST),684559,5579,16832,1034.59,56,56,18.47,145.86,14.18,38.63,3.00,11.88,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (17009-OAKLAND & HIATUS),680394,5579,17009,403.26,23,23,17.53,52.98,6.99,26.06,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (1868-PEMBROKE PINES),685633,5579,1868,729.91,38,38,19.21,104.61,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (2011-CORAL RIDGE),680386,5579,2011,248.12,11,11,22.56,30.10,14.18,40.63,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (22008-OAKLAND & 55TH),680392,5579,22008,1312.31,77,77,17.04,182.72,6.99,21.13,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (24106-PALM AIRE),684906,5579,24106,372.30,21,21,17.73,47.32,6.99,21.17,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (24636-COPANS RD. & I - 95),684917,5579,24636,396.62,22,22,18.03,50.07,7.19,35.97,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (2533-LAUDERDALE LAKES),680368,5579,2533,884.79,46,46,19.23,124.43,0.00,0.00,3.00,16.37,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (2565-5TH AVENUE),684468,5579,2565,674.01,33,33,20.42,86.87,13.98,46.95,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,"McDonald's (27555-SUNRISE, COMMERCIAL & 94TH)",684455,5579,27555,266.15,15,15,17.74,36.12,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,"McDonald's (29261-BOCA RATON, BOCA CENTER RELO)",684904,5579,29261,653.25,33,33,19.80,84.81,6.99,20.28,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (32379-MIRABELLA),684546,5579,32379,1024.21,57,57,17.97,129.04,14.38,43.75,3.00,16.78,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (3482-BOYNTON BEACH),687543,5579,3482,624.80,30,30,20.83,89.62,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (3555-TAMARAC),684472,5579,3555,437.90,32,31,13.68,58.05,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (36313-ATLANTIC EXTENSION II),685071,5579,36313,268.49,13,13,20.65,34.66,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (4112-SAMPLE ROAD),685069,5579,4112,945.39,49,48,19.29,120.36,6.99,24.37,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (5002-CYPRESS CREEK & POWERLINE),687850,5579,5002,234.00,17,16,13.76,30.03,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (5990-SOUTHGATE),684457,5579,5990,592.69,34,34,17.43,75.29,6.99,30.47,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (6653-DEERFIELD BEACH),684918,5579,6653,598.46,29,29,20.64,78.21,0.00,0.00,3.00,9.07,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (6712-EXECUTIVE),684429,5579,6712,255.19,15,15,17.01,33.69,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (681-COMMERCIAL),684427,5579,681,345.86,17,17,20.34,42.91,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (7158-I-95 & SUNRISE),684444,5579,7158,621.52,38,38,16.36,88.54,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (7253-BAY COLONY),688121,5579,7253,392.30,20,20,19.62,51.83,0.00,0.00,0.00,0.00,USD
Week of 2025-05-26,2025-05-26,2025-06-01,McDonald's (7732-OAKLAND FOREST),684443,5579,7732,966.02,51,49,18.94,124.21,14.18,58.70,0.00,0.00,USD
